17.8,0.66,nan , -81.5 , nan , -75.9 , -58.4 , -63.8 , -57.1 , -63.7
17.4,0.66,-78.4 , -78.0 , nan , -72.3 , -59.5 , -53.8 , -46.3 , -59.0
16.8,0.66,-75.6 , -78.9 , -79.1 , -70.9 , -60.0 , -50.0 , -49.4 , -62.1
16.2,0.66,-79.9 , -74.0 , -82.1 , -72.8 , -58.3 , -48.8 , -53.2 , -62.5
15.6,0.66,-79.9 , -78.1 , -74.2 , -64.3 , -57.0 , -48.4 , -57.2 , -58.3
15.0,0.66,-78.9 , -74.8 , -84.5 , -75.7 , -58.3 , -47.9 , -59.9 , -59.6
14.4,0.66,-78.3 , -78.0 , -77.2 , -61.9 , -51.3 , -48.8 , -62.3 , -59.8
13.8,0.66,-77.2 , -69.3 , -77.0 , -61.9 , -54.9 , -50.4 , -68.0 , -60.0
13.2,0.66,-76.9 , -72.0 , -76.2 , -58.1 , -60.8 , -54.2 , -67.2 , -63.1
12.6,0.66,-77.0 , -72.3 , -73.4 , -55.1 , -65.0 , -57.8 , -69.2 , -68.2
12.0,0.66,-72.5 , -65.8 , -76.9 , -54.5 , -62.6 , -63.3 , -71.1 , -64.0
11.4,0.66,-70.1 , -73.0 , -75.8 , -52.4 , -64.3 , -62.4 , -73.1 , -69.4
10.8,0.66,-71.2 , -72.6 , -64.7 , -53.0 , -65.9 , -63.8 , -74.3 , -64.1
10.2,0.66,-67.2 , -69.1 , -73.7 , -52.1 , -70.9 , -69.2 , -75.4 , -69.2
9.6,0.66,-67.1 , -66.4 , -65.8 , -58.0 , -71.6 , -68.5 , -79.0 , -67.1
0.0,2.0,-52.9 , -63.4 , -72.9 , -73.3 , -77.2 , -78.4 , -77.0 , -77.4
0.6,2.0,-56.1 , -61.3 , -66.3 , -70.4 , -74.2 , -78.0 , nan , -71.9
1.2,2.0,-49.7 , -56.3 , -65.9 , -70.1 , -76.6 , -75.1 , -75.1 , -70.8
1.8,2.0,-53.8 , -53.9 , -66.4 , -69.2 , -68.3 , -74.0 , -79.0 , -69.1
2.4,2.0,-54.6 , -56.0 , -66.7 , -68.1 , -74.1 , -72.0 , -78.3 , -75.0
